Region,Adderall
Louisiana,100
Rhode Island,92
Utah,89
New Hampshire,86
Michigan,85
Alabama,80
Massachusetts,79
Idaho,78
Mississippi,77
South Carolina,76
Indiana,72
Maine,71
Arkansas,71
Missouri,70
Minnesota,70
Virginia,70
North Carolina,70
Illinois,69
Nebraska,69
Florida,69
West Virginia,69
Oregon,69
Colorado,69
Ohio,68
Tennessee,67
Kentucky,67
Kansas,66
Georgia,66
Texas,65
Wisconsin,65
Washington,65
Pennsylvania,65
Wyoming,64
Montana,63
Connecticut,62
Oklahoma,62
Arizona,61
Iowa,61
Vermont,60
Delaware,59
Alaska,58
Maryland,58
New York,57
North Dakota,55
New Jersey,55
District of Columbia,53
Nevada,51
South Dakota,50
California,49
New Mexico,48
Hawaii,43
