Region,Pain_relief
West Virginia,100
Kansas,98
Pennsylvania,87
New Mexico,87
North Dakota,87
Arkansas,86
Montana,86
Arizona,86
Wyoming,85
Alabama,85
Mississippi,84
Illinois,84
Tennessee,84
Oklahoma,84
Connecticut,84
Delaware,84
Missouri,83
South Dakota,83
Michigan,83
Florida,82
New York,82
Louisiana,82
Ohio,81
Washington,81
Texas,80
Kentucky,80
Maine,80
Nevada,80
Wisconsin,79
Iowa,79
Georgia,79
Hawaii,79
Oregon,78
North Carolina,78
Indiana,77
District of Columbia,76
Minnesota,76
New Jersey,75
California,75
South Carolina,75
Nebraska,75
Virginia,72
Idaho,72
Maryland,70
Colorado,70
Vermont,69
New Hampshire,68
Alaska,66
Utah,65
Rhode Island,65
Massachusetts,64
